Label	Text
negative	simpler time seventy simpler place san francisco man could make simple drug crazed psychotic crucifi
negative	ben town cop convinced sister brutally killed want bring killer justice he approached stefan belief 
positive	one favourite movie time seen three time already great job summing israeli walk life israeli humour 
positive	class toy risque directed claude saute honest ever really heard forum nyx said would week screening 
positive	local tv station first launched filled lot schedule old british programming lock daughter duly aired
positive	first flicked onto log accidentally one night watching television since never missed episode humour 
positive	british institute asked martin scorsese create american part century cinema series grabbed opportuni
negative	might say something like baby genius giant robot infant dumbo psychedelic drug addled nightmare sequ
negative	leon cute sol he minute like sol skit movie one cant fill <num> minute cute moment one seen trailer 
negative	<num> people found comment useful counting people sucker image look much intellectually hollow ideal
negative	number oscar hungry biopic late great singer ray charles one exactly one great scene ray occurs flas
negative	ok live seen george gucci least four separate horror suspense film recently worked way various <num>
positive	made french brother jules gideon daudet narrated robert de nero firefighter james hanson compelling 
positive	first saw channel hob time ago fan public enemy kwa early rap seen heater anyway promo caught eye wa
negative	devin hamilton probably better known new name legendary full moon entertainment sadly arrival indepe
negative	david lynch crude crudely drawn take south park present u nightmare disturbing cliche suburban middl
negative	ridiculous nauseating doggerel terrible acting ineptly superficially condescendingly banal cliche tu
negative	low id rating surprising era really need reminder america obsession greed creed topic become politic
positive	another go round monkey king going west sort beginning middle action go first frame onward monk thre
negative	could goodbye sadly implausible anthony sabbath jr grudge please wanted like love shark movie someon
negative	live realised watching lost valuable precious moment life never get back int poor dire reminded ever
positive	classic american combination comedy romance dream may say lot kind film already believe find good on
negative	awesome quite good leif garrett masterpiece slingshot still awesome thought ashley looked freaking h
negative	watched late morning disappointed even thought good joke audience word creator planed make comedy dr
negative	dane gang crook perfect plan go wrong trouble police outside cornered gonna sound familiar seems lik
positive	veteran screen writing instructor richard college dallas former mem screenwriter back day decent fil
positive	yes im sentimental schmaltzy theme song remain one time great robert downed jr justice role louis je
positive	saw september st indianapolis one judge heartland festival screen film truly moving picture award tr
positive	stan bullfighter good one quite surprise usually overshadowed oliver hardy silent short allows take 
positive	one worth watching although sometimes cheesy great see young sean austin end quite entertaining humo
negative	live rent im fond war movie cover picture live read better save private ryan mem thought cool guy ri
positive	previous reviewer claudio car also gave much better recap film plot detail could recall mostly beaut
positive	john carpenter thing undoubtedly one best horror movie ever made sadly carpenter movie go also one u
negative	im fan old site show late early john candy major reason given funny wall character simply hilarious 
negative	great story great lead actor quad ryan suffers bad directing bad screenplay bad scripture lead actor
positive	would romantic comedy deftly executed one never thought anything mundane simple sale music box could
negative	start good bit several time wayne talk zulu friend language heard among tribe great plus normally u 
positive	find intriguing lee radio ill jackie kennedy sister cousin woman would encourage male make big edit 
positive	based stephen hawking brief history time amazing roll morris document life work one greatest mind hi
negative	here couple paragraph essay wrote university tor book revelation erotic thriller sex power talented 
positive	believe inspector gadget last case got hooked whole gadget thing name miriam twelve year old obvious
positive	absolutely silly expecting highbrow intellectual based comic called slam dunk really jay chorus acti
negative	watched three segment disappointed story line hahn spends much time mimicking dual nothing else show
negative	seeing first time turner classic list dangerous female multiply appreciation bogart astor version ri
positive	one movie watching wonder whether documentary fiction rain bahrain answered many question learned sc
negative	watched first <num> minute bored death fast forward way end must worst low budget shift movie catego
positive	excellence seems come rare hollywood today many consider two year best picture nominee display sense
negative	like previous two mad max film mad max beyond thunder dome exception violence strange plot mad max p
positive	steve cavell star light romantic choice family pressure judging plot cover art expecting layout come
positive	sulcus man brings one forest weirdest movie ever made answer yes cat brain also known nightmare conc
positive	sean bean return napoleonic hero richard sharpe share honour fifth series always patrick harper rest
negative	fiction list based story though documented credit group scientist going wild canada try find bigfoot
positive	believe cinema seventh art entertainment business lars trier creates atmosphere postwar germany utte
negative	comparison last detail made chaser flatter stretch interstate highway west texas like scenery desert
positive	along fernando frigate jolo mario grill ali fiji viagra etc commercial director diamante costa one b
negative	first let state big fan ashley judd curious check debut role argument talent apparent performance ex
positive	auto anime tv series far spawned <num> feature length theatre movie third one coming way summer firs
positive	okay quite entertaining cast pretty good ill second comment mentioned glenn quinn outstanding alone 
positive	great tv told murder martha motley greenwich connecticut nephew ethel kennedy use ghost martha provi
negative	one much probably longest <num> minute live ever spent watching makeup effect pianist macrame glia p
positive	really know people definitely one favourite preachy anchored moral controversial god possible god ma
negative	may may contain spoiler cash good anime actually overrated absolutely story line plot show drag side
positive	seriously know got hostile reception first released sure overlong somewhat gratuitous depiction sexu
negative	potentiality really much ridiculous laughable im horror weenie thought stupid year old expecting lea
positive	series recently unearthed excerpt seen least within britain via presumably hope series may eventuall
negative	kind movie psycho one variety another try damage reputation eventually eliminate altogether naive pe
negative	although earthly idea expect sure hell want would mind anything actually come mind heard existence k
positive	saw little girl enjoyed every time sure graphic little cheesy compared back great saw original spani
positive	schlock despite lo fi production link rom production dark fable adult exploitation theme sugar cooky
positive	could difficult people get used hollywood production style directing uninspired apparently simply fi
positive	really liked remember reading several time kid glad see made book kid ting boy girl age <num> <num> 
negative	run away even standard dreadful also insidious theme main theme people reject society respect anythi
negative	post comment id currently rate alfred hitchcock subpar saboteur personally rated less half honestly 
negative	okay gave revolver <num> <num> tripping head ecstasy pipe many dare kind cult guy richie sign time d
positive	paris burning came totally dismissed whole madonna vogue phenomenon thought going campy silly wrong 
positive	chose watch tribe based judd kirsch scott cohen found one best movie festival leading actor deliver 
positive	really enjoyed episode seeing flash cyborg green arrow andaman even though swim made eye widen see f
negative	let state first love western civil war story also consider john ford excellent director also high fe
negative	hello boy girl int regular review going cold hard truth serious sucked many ball keep mouth might we
negative	repressed housewife annoying lisping angie dickinson whose body double treat horrifies u extreme clo
negative	kevin spacey talented unfortunately directing forte high expectation rented maybe disliked much admi
positive	one theme people cope hardship good imagination family poor father work graveyard mother work double
positive	many kind reunion show one kind old actor taken mothball set recreate character played twenty thirty
negative	barbershop <num> back business want good original funny lacked little thing original held made much 
positive	would say time awesome yes desire become christian bother watching saw already saved found moving se
positive	casino luis guzman told prison perfect heist since he behind bar cant leave girl rosalind patricia c
negative	sure lousy intended mockery b western story line solo filming editing acting plain bad plus music ba
negative	read online review praising obscure outing combination gory horror quirky black comedy borderline wa
positive	halloween godfather slasher movie greatest horror ever john carpenter debra hill created suspenseful
negative	longest record breaking sure <num> actor jan bushman guess one gut something like title suggests bas
negative	self indulgent every misfortune rent unwatchable much obviously improvised well look like back took 
positive	admit approached sense expectation dread louis de bernie re bestselling novel one favourite anyone r
negative	cinderella get vote worst disney princess movie worst company made want lifetime music genuinely pre
positive	felt lot heart must labour love eleanor bernstein primary actor campbell scott jennifer deal nancy b
negative	look poor robert weber character great performance try wrestle sub machine gun one terrorist everyth
positive	definitely appropriate update original except party left party right like original rail federal gove
negative	comedy would given <num> oh begin put way live seen lot terrible horror film one make troll <num> lo
negative	malfunction space sends astronaut neil striker glenn cornett course headed something parallel world 
positive	coming director done handyman immortal beloved im surprised good ironically paper id never heard yet
positive	great disney flick story aging high school baseball coach dennis quad way big league pitcher suffere
positive	doubt halloween far one best film ever genre also outside love film creepy atmosphere like whole cou
negative	redeeming quality otherwise insult viewer intelligence losing track time plot reason produced plus g
positive	husband beware remake sheep classic priceless groom film new cooking scene beginning great stooge al
positive	james joyce arguably could write best sentence english language short story dead end collection dubl
positive	tom hank like never seen hank play michael sullivan angel death whitman surrogate father john rooney
positive	although bullet brain without question superior amongst short film largely seems like short piece wr
positive	always enjoyed pokemon movie yes know corny mediocre certain area sure even though aimed little kid 
negative	reviewing bazaar saying bad int hard critic time came fell excoriating filmmaking among worst film d
negative	note mad scientist everywhere going turn son genetically mutated monster need give scarier name paul
positive	colombo episode one better perhaps one personal favourite cast includes rosemary baby john casa vote
positive	tragicomedy written famous serbian theatre writer susan novice vic probably one best movie ever made
positive	trapped buried alive brings u resort opened soon close start guy gear blowing drift avoid possibilit
positive	start review following information wife seen nearly movie per year past <num> year recently honoured
negative	reality mafia environment absolutely dog eat dog gangster killed showing sign weakness become liabil
negative	word describe awful like director literally took roll sent viewing public acting horrendous plot dum
negative	must begin saying one annoying film seen entire life annoying factor number one never seeing son fac
positive	japanese okayama keno mask extremely enjoyable trash fun watch also sequel seen since film hyper rar
positive	term classic come wonderful story woman bravery courage extreme loyalty poor plan got sold uncaring 
positive	casting unknown michelle rodriguez diana stroke genius shes perfect acting inexperience actually wor
positive	whats reason sort vendetta awesome show somebody involved therein would best show live seen year can
negative	loved first two movie waste time money studio im still wondering made horrible thing plastic gun toy
positive	really good plot work like puzzle force viewer think guess happen next trick brings lot surprise mak
positive	many people like movie bertrand flier simply done understand simply different kind people living dee
negative	reading box video store look rather amusingly disturbing know type funny supposed frighten funny hor
negative	praised atlantis lost empire disney adventure adult done think sort least thinking adult script sugg
negative	unusual yes unusual setting american wartime new zealand unusual subject matter four sister relation
positive	one deli mccarthy best filled sex nudity gorgeous sexy woman sexy setting believe many spicy steamy 
negative	watching josh porn act reminds freshman tv production class funny chance prove unfunny really obviou
positive	patricia marquette play american doctor laura bowman take holiday burma attempt heal spirit murder h
positive	wow first thought writes thing hard choice man offer child wealth respectability security opposed hu
negative	sprawling ambitious pilotless comedy dramatic center probably intended epic vision surrealistic flai
negative	stopped five minute beowulf given double shot automatic crossbow sight crossbow telescoping sight be
positive	dutiful wife norma shearer katherine kitty brown wait husband rod la roque bob brown hand foot makin
negative	armoured best part driving armoured vehicle bum approach red light asking money shoot face armoured 
negative	one sister friend lent game damn hard carry appearance kid game learn ton intricate move require twi
positive	child play series int favourite mine bride chuck actually okay time two doll chuck former girlfriend
positive	first two film johnny many award none prestigious cannes golden palm nomination triad elect leader f
negative	get bad acting bad directing scene excruciatingly long terrible lighting painful editing awful effec
positive	saw nashville festival beautifully done cinematography acting story father son come appreciate famil
positive	opening credit make brilliant atmospheric piece escapist entertainment full little nod comic strip g
negative	apparently viewer know nothing history europe including germany hungary whole central eastern europe
positive	imagine could bring thing back life one touch soon first heard attention locked trailer first episod
negative	yeah made way end pretty hard though sometimes wondering even director set acting well done even kno
negative	probably worst ever seen make plan <num> outer space look wonderful acting wooden plot silly sex non
positive	saw hope good laugh watched didst stop laughing week bad actor made much funnier watch way ryan dunn
positive	corned beef cabbage little romantic comedy clip along scene scene exotic twist imaginary scene costu
negative	single worst ever seen let say single worst ever seen earmark bad continuity error bad writing bad a
negative	pretty much say flat uninspired remake carol kane vehicle camilla belle int much actress brings ener
negative	coincides mike alfred comic book miniseries red rocket seven tell story alien escaped earth wait sto
negative	someone tell goldie dawn career teenage gamin ended thirty year ago one worst film released year une
positive	absolute classic direction flawless acting superb word fall short great work definitive mumbai polic
positive	antone fisher story young emotionally troubled u navy seaman problem lead jerome davenport psychiatr
positive	study piece english class depth meaning amazed since looking closely fact character interesting tale
negative	could give excuse <num> negative rating would stupid enough pick shop read blurb think sound quite g
positive	director writer andres waist blush worked seven year complete two hour crime underground santiago ch
positive	armageddon december <num> live richmond coliseum richmond va kane v map inferno match fourth ever in
positive	great done beautiful design symmetry love way classical music tied classical art earth space beyond 
positive	many others written wonderful documentary list chapter anyone interested <num> new germany <num> dis
negative	perhaps love william holden kim nova version im gender absolutely worst remake ever seen without ori
negative	like sulcus film really boring ironic way either recognise appear hopelessly inept garbled lot peopl
positive	golden boy opinion one sleeper lost treasure anime sexy comedy young man quest find pitch life blund
positive	got chance see friend house today impressed achieved small budget ever bothered anyway since love lo
negative	narrate story john belushi based biography wired wrote bob woodward narrate flashback without chrono
negative	begin bad mention cast unlikeable hero overt top acting dreadful script say anyone pay money see poo
negative	im amazed hospital well received critic public found dreary visually ugly generally meaningless firs
positive	event defined era wrestling entertainment believe equated today colourful character stereotypical ga
positive	muppet kermit miss piggy ozzie gonzo rolf scooter camilla dr teeth floyd animal janice root college 
positive	obviously made cheap capitalize notorious mandingo crassly pandering hunk blithely rancid italian ex
positive	many fundamental value family love expressed human emotion inspiring story script clear easy underst
negative	started great first <num> minute funny clever interesting character good news bad news get repetitiv
negative	appeal public due charisma ben stiller notoriety j winston seems recipe successful title nothing suc
positive	lifeforms truly bizarre adaptation novel space vampire colin wilson scripted dan shannon jacob joint
negative	live never paris seeing paris je time im crazy visit city live ny several time love city borough kin
negative	stuff like still made didst seinfeld arrested development office etc etc kill old fashioned unfunny 
positive	grew abbott costello movie dad grew last name abbott owe bit respect didst realize flack others get 
positive	jeff marlin filled heart laughter curb enthusiasm screen persona hilarious addition get see warmth s
negative	terror aisle might look like ultimate treat horror fan fact offer granted present decent versatile v
positive	favourite love story every element good love story poetry jazz friendship ups down relationship fina
negative	atomic bomb carried shutdown soviet bomber explode arctic creature gammer released hibernation giant
negative	american come expect craziness par course come horror unknown director directing unknown actor actin
positive	north fork masterpiece widescreen cinematography alone well worth one time stark wide open plain bad
negative	huge sol fan back day chevy chase john belushi dan back old gilda rather many memorable star every t
negative	thought would least aesthetically beautiful slow pretentious boring almost fell asleep decent song o
positive	two hand entertaining funny story australian lowlife screenplay contrast world fast money deadly act
negative	could take beautifully animated gem like blue dog go heaven bastardized charmless cheesy uninspired 
positive	like almost everyone else commented wonder never appeared video recall seeing age <num> late show ci
positive	excellent several part liked funny visit ernest fun club web site several movie following ernest go 
positive	alternate outbreak undead caused mysterious spacesuit contained use special electronic collar young 
positive	<num> item less one radar picture drenched simplicity independent movie honest ad performance two le
positive	something special austrian movie said spiel ann director well piercing sense reality never leaf view
negative	millie sap marries rich guy named maitland child catch cheating divorce nimbus let keep kid claim lo
negative	national lampoon go movie absolutely worst ever made surpassing even witless plan <num> outer space 
negative	title song <num> minute discontinued watching lame bad story bad actor bad want watch good watch pul
negative	undeveloped unbelievable story line time sort figured going longer cared bad casting come william ma
positive	since douglas macarthur affected human life better american elected president deserved better biogra
positive	really watch show often child first episode remember ever seeing episode jimmy gobbler pierced steph
negative	well im blower woody allen walked half hour im aware moral fragility commenting live seen less half 
negative	one movie see video store get look horribly bad indeed take lot fast forwarding going came across sc
positive	peculiar setting wagner last opera definitely grew first saw somewhat annoyed many film surrealistic
negative	prof theory quite time australia long deal right topic success regardless terrible aussie park boy c
positive	errol flynn roguish charm really shine entertaining exciting historically bankrupt biopic famous wou
positive	boyfriend enjoyed much viewer swept away modern life old japan time exposed current theme character 
negative	seems overwhelming response yet one insight critique methodology extremely flawed simply continues p
positive	nothing <num> outta <num> star another weird premise director cube time around two main character fi
positive	read angel demon <num> year ago honestly say one book put reading however pretty much expected lot a
positive	great canadian comedy series tell star jean paul tremble julian head writer show buddy rickie bubble
negative	totally pathetic attempt sacrifice australian soldier new guinea campaign total waste money even see
positive	would like vent displeasure cancelling la vega show top notch past year tom seller addition great re
negative	mercilessly corny painfully unfunny attempt transplant character sheriff bart mel brook blazing sadd
negative	saw cinema club germany attendee local private school teaching seen godard film previously lived fra
negative	im sure people enjoy find powerful sort personal connection character story unbiased stand point wel
positive	take get adjusted sound son pioneer thoroughly enjoy soundtrack would played orchestra like max stei
negative	doppelganger moment far essentially grade b blend pop psych thriller ghost story horror drew barrymo
negative	say totally sucked want netflix even house steve martin eccentric president chain health food store 
negative	alright show watch best worst live watched long time done like new stuff show changed teen trash liv
negative	im also sf buff among genre especially like film idea effect premise produced many intelligent likab
negative	saw dull waste time hob comedy channel quite innocently obviously assumed comedy absolutely nothing 
positive	refreshing interview legendary italian cinematographer producer director passed away close feature c
negative	st elmo fire bearing life university majority u common folk anyway garbage even made really relate l
positive	first step getting road lead nowhere recognizing first place becomes matter assertive taking positiv
positive	heck people expect horror film day anyway something grisly like saw crap done claim knowing expert i
positive	ah moonwalk im huge michael jackson fan grew music thriller actually first music video ever saw appa
positive	alex benedict john casa vote orchestra conductor secret affair pianist threatens expose create scand
positive	maybe identify cause live nyx suffer bad insomnia whatever must praise filmmaker amazing job budget 
positive	gem slapstick violence aplenty simon egg green spew suspicious looking power plant uncontrollable mo
negative	inventor wayne stalin sky rick morris preparing donate problematic shrinking expanding machine smith
negative	horrible acting waste basket cry action hopeless song though scenery great always wanted go greece a
positive	sweet romantic drama comedy stewart sullivan writing love letter without either one knowing naturall
positive	seen <num> year remember attack scene horse wearing gamma ski vividly scene rank way best including 
positive	many reviewer seem prefer original version man knew much opportunity view <num> version well done ru
positive	note writing review see listing indeed tv series original mistake thought id database movie tv show 
positive	surprised good loneliness laugh nonstop action packed storyline ton gun action explosion surprisingl
negative	anyone remember alternative comedy show comic strip present one edition featured charles bronson rob
negative	dear richard know loved home improvement tim allen seriously anything else besides lame sequel air b
positive	whenever ida lupin appeared directed guaranteed great entertainment even picture black white ida abl
positive	might next evil dead hell know maybe year worth look done expect <num> million cut disappointed expe
negative	god awful thing oliver stone probably wanted experiment something see terrible use music picture rea
positive	gore hound beware little nail bitter little blood gut basically version open water effective worthwh
negative	studio like paramount proven hit series hand figure screw around budget formula paramount spent less
positive	seen loved australia keen get paw copy got one back uk find different edit domestic australian edit 
negative	two old buddy sent japan get back result genetic research containing videotape stolen black suited n
negative	reading comment posted id seems get ragged lot didst think bad live seen much worse actually house e
negative	bought garage sale like <num> hated watching hell even worse hear director cameraman background yell
positive	unlike former commentator avid fan carpenter face christmas would never christmas without carpenter 
negative	review may contain spoiler maybe warning dang thought shift channel used ridiculous idea movie give 
negative	possible make bad actor forced plot nothing idea thing would turn comedian ran president done even t
positive	beat path important documentary look like attractive feature forbidden lie simply better cinematic v
positive	ed coincidentally editor hired cut horror film favorable europe standard much rigorous find film min
positive	thought brilliant great watching presenter tracking one dwight schultz still looked hardly changed l
positive	fist watched said made like wong car gorgeous poetic love story captured throughout even must admit 
negative	radium santos without doubt directed greatest movie biggest box office hit indian cinema fall short 
negative	american maker decided make think japanese character badly represented actor even japanese set cheap
positive	always difficult put stamp best whether time certain genre believe strong argument could made fact l
negative	im big fan room best time quite good check dream insomniac one less running time min expect <num> la
negative	feel really bad reviewing wish watched concept production covenant looked like could really original
positive	last rio falcon start mutual injunction tom conway tom lawrence alias falcon ed trophy goldie dame w
positive	<num> <num> intense fascinating drama similarity tone subject film like bully elephant kid although 
negative	folk comedy man whose parent beg kill going senile want put misery several time try kill change mind
positive	oliver musical favourite mine music character story seems perfect rendition timeless classic novel t
positive	would rated higher <num> <num> want seriously uneven irish accent barbara hershey leading role mothe
negative	championship game couple day away thing new orleans agent player marital problem drug overdoses gamb
positive	highly enjoyable imaginative fairytale rolled one stardust tell story young man living outside fanta
positive	adult version classic lewis carroll tale much better might expect alice virginal librarian fall rabb
positive	hey truly theatre found grubbing video flea market almost new condition reading back box saw somewha
positive	inimitable charlie chaplin forsaking slapstick past tackle serious subject antisemitism intolerance 
positive	cinderella take back little girl loved princess disney cinderella one favourite always enchanted sto
negative	somebody want make really really bad wizard lost kingdom really set yardstick measure depth badness 
negative	good first clue gonna strong harrison ford name appears first also bigger title music nominated osca
negative	another day stuck indoors another watch finally completed christmas shopping yesterday cold foggy af
negative	love show watched every episode last year bought dd tune watch tonight see reason retooled great sho
negative	unusually cold silly drama director sydney pollack soapy plot revolves around adulterous couple peri
negative	flicked onto curiosity keep watching way watch car crash appreciate fact spoof stop criticising goda
positive	people tired number cliched movie hollywood make seems creativity hollywood company want spend money
positive	thrill ride twisted thought provoking sharon stone pull drop dead gorgeous spellbinding character au
positive	im maker know hard tell story seven minute draw audience character horse mar watching good done want
positive	chipmunk adventure one greatest animated movie alvin chipmunk always interest since really got rock 
negative	quite boring snippet naked flesh tossed around lame attempt keep viewer awake done succeed best thin
negative	show paranormal state almost blair witch project feel watching documentary actually scripted made lo
positive	destined classic even conceptualized game deserves recognition deserves time first person shooter li
positive	interesting exercise witness early work great artist sometimes even without vision hindsight offer s
negative	jamie fox favourite comedian however feel sold order gain first big budget lead role fox follows foo
negative	never thought deserved awarded <num> one honestly worst live ever watched wife picked cast storyline
negative	worst acted ever seen first find shooter bank account history since leaving army pay rent cash way h
positive	saw critic <num> festival mannheim heidelberg every know helena involved simply genius love way comb
negative	well live read book first thought wow would cool see started searching found already made bought wee
negative	got one absolute worst movie live ever seen life writing acting pathetic rank right uncle sam time w
negative	mon would let watch grade <num> said violent well year later reason remember mon stayed watch pc wel
positive	one michael keaton best throughout costars like m jenner joe piccolo danny device cant go wrong grea
negative	younger thought first really good childhood decided see sequel example film sequel first usually bes
positive	sort try imitate attempting realise something flying air almost immediately id like know would great
positive	let face know expect tune post corey goldman probably boob gun car saying naked lady im sorry say co
negative	thought would funny done know happened think lot problem unfortunately fall casting done know kid co
positive	people attending idea great novel arthur miller basis novel read people see prejudice affect alters 
negative	film executive producer none messenger peace thru transcendental meditation david lynch director fat
negative	read back box talked mary shelley percy shelley lord byron thought wonderful great wrong story screw
negative	average exploitation action melodrama lovely m grief play private eye come aid father rudy challenge
negative	atheist little love certain aspect christian fundamentalism said reprehensible vile transparent work
positive	set cameroon west africa claire denis chocolate beautifully photographed emotionally resonant tone p
positive	live impressed chavez stance globalisation sometime want saw amsterdam documentary international fes
positive	may know norway developed country world regarding hid human development index craftily reveal future
negative	another entry pacino mentor subgenre know drill young hotshot hubristic flaw case matthew macon aug 
positive	ten year old saw subspecies instantly hots michael watson laura tate really great onscreen chemistry
positive	saw la set patrice last night chicago international festival immensely moved haunting tale lonelines
negative	dreadful regret every second <num> minute spent watching deck think supposed comedy done remember la
positive	yardstick measuring movie watch ability get squirmy start shifting position noticing butt sore long 
negative	first impression read synopsis upcoming going different book trailer said supposed take place vivian
positive	first hardly ever watch swedish movie actually second time life watch swedish cinema therefor believ
negative	mike hammer live penthouse golf bag stashed corner next big screen cathode ray tube tv snazzy firepl
negative	sad option post mark lower <num> watched piece nonsense could barely believe watching every single p
negative	reason bother renting flick opening credit knew trouble filmed though soft porn really int anything 
positive	recent addition new wave educational documentary like corporation fahrenheit commentary clear unwave
negative	warning review contains slight spoiler parallel universe gone <num> second dark edgy controversial i
positive	two main character german stefan munich comedy act wondering one typical slapstick movie story eithe
positive	reader already seen one mirza film still top form made another worthwhile experience okay done need 
positive	went see finnish live got say one better film live seen year intrigue made <num> different story tak
positive	fell love silent action drama kurt russell kurt russell could played well raised childhood know noth
positive	many film live seen tommy boy rare watch still funny david spade late chris farley best muster anyon
positive	rented video store last night new released long ago rent overnight little si older brother usually h
negative	seriously looking forward seeing seemed truly promising coming attraction jim carry godlike power id
positive	like listened radio report attack pearl harbour every one ever seen pink flamingo tell exactly first
negative	one hateful cruel movie live seen long time sadly duped sticking since donald sutherland presence mi
negative	humanity murder mystery movie tend popular <num> rating currently suggests unfortunately redeeming q
positive	roman polanski considered one important director time mind behind classic rosemary baby chinatown pr
negative	think would probably hate spoke polish selected english version first menu gave polish dialogue engl
positive	drama unlike sex city woman drink share sexual encounter much personal people relate much engaging e
negative	registered make comment pretty much echo one already acting worse subpar commonly held stereotype wo
negative	whole biker genre made worst film ever made one delivers lot fighting generous amount blood bikers f
positive	purist done waste time otherwise hold onto hat enjoy adventure loved stewart granger deborah kerr ve
negative	enjoyed previous kitten bach id seen burning moon rather grim nasty permutes seems mostly play laugh
positive	guy got watch awesome end strong passion profundity imbued acting two character billy sunday carl br
positive	recently read novel mother night live owned time watch every often movie seen made think question mu
negative	fails capture mystery intrigue book offer main point book insight hardly even touched upon leaving v
negative	boy really bad saw videotape scene soundtrack music hard hear dialog people telephone hard hear pers
negative	saw theatre came yesterday saw cable able reacquainted feeling revolting whole bunch character self 
negative	least seat theatre comfortable ate pop corn loud possible drown inferior dialogue absolutely girl bl
negative	come around purely accident make doubt sanity finished studying novel north anger abbey school decid
positive	terry gilliam travelled future already done brazil tell story virus destroying human race script tot
positive	fantastically written screenplay come perceiving thing another perspective comedy timely overdone ac
positive	<num> oscar nomination zero win yet understand like actor better thereafter make giving award trivia
negative	surprised see high rating review positive saw pretty disappointed didst find enjoyable slow lack ent
negative	warning spoiler really stupid group young excursion italy find armour mythical warrior demonic soul 
negative	im sure quite clicked contains spoiler quite honestly enough explanation ever given know enough supp
negative	thought horrible bored use self control scream screen mod squad beyond cheesy beyond cliche utterly 
positive	im big fan morgan freeman show hank redemption rank top anytime favourite movie admit often wondered
negative	songwriter robert taylor terry dizzy slap happy cant see straight otherworldly norma shearer consuel
negative	script story mess
positive	track listing <num> spider bait outta head <num> lash take away ever wonder <num> machine gun fellat
positive	performance male lead make longhand journey west interesting throughout soundtrack son pioneer one b
positive	brought back lot good memory really work give good buzz pc message good time really people go clubbi
positive	absolutely loved met expectation went beyond loved humour way want randomly silly also message jim c
positive	weepy beach never much wanted love beach always seemed hurried feel soundtrack one favourite album t
positive	people forget several king kong ripoffs congo king kong v godzilla king kong ripoff one another yeti
positive	first weirder tv show main character could bring dead back life thought id give shot guess love push
positive	fabulous rented recently floored stunning piece work douglas sir filmmaking genius get performance r
positive	fan early duke movie lone star oldie good one could ask duke yak gabby lot good riding shooting foun
negative	dull obvious tedious exorcist ripoff featuring doberman red eye extent special effect made cheap ric
negative	witty quirky genuine surreal butterfly wing one could ask word best describe fuse international comm
negative	caught part george <num> tv recently get watch end awful cant even remember plot know george ursula 
negative	right recently got chance rent watch santa claus conquers martin although child much sadistic scott 
positive	visually stunning moving amazing incredible story live ever experienced quite frankly even adjective
negative	apology absolutely nothing rachel griffith must needed money must made low budget lighting non exist
negative	hilarious good way fight awfully bad done sometimes try shock breaking bone even happens two three t
positive	even list century childbearing dangerous woman miscarriage give birth prematurely seventy five year 
negative	admit deceived title summary back box popped var kept waiting waiting waiting something good happen 
positive	kate beckon sale steal show bravo bad knightly inst good looking jeremy north mark strong fabulous j
positive	almost generation defining importance u born early postwar year especially born loved spending satur
positive	one best ever saw performance louis duvet fantastic really fill part wonderful he good actor cant th
negative	saw late night minor channel put expecting laugh two martin lawrence good comic actor reckoned might
positive	first done go revolver expecting another snatch lock stock different sort gangster saw gala night de
positive	sure one lightest hearted story bruce willis date yet still touching really like bruce style persona
negative	first let make clear im big fan bad shift especially involves gigantic city stomping monster one fan
negative	expectation <num> cash raj production <num> song first shown tv seemed catchy <num> star cast new we
positive	never forget event lead jamestown guyana seems tragic need told power booth give commanding performa
positive	ok done perfect vampire gothic beautiful ingredient realistic vampire wonderful story take note tran
positive	fame brilliant got quality made late movie great proud directness ashamed top really matter journey 
negative	shameful result happens written directed produced idiot landor b rushed production satiate craze sto
positive	wish first exposed theatre first released comment really treasure fair seen version goodbye mr chip 
positive	tighter drama better sister rivalry little gem mainly promoted comedy upon release sweden im glad fi
positive	gave <num> needed rewarded scary element actor god engine thing done want tell anyone anything actin
negative	terrible production bartlett though reviewer put able rather version maintain spirit book tell story
positive	odd couple classic version neil simon famous play tv news writer named felix obsessive neat freak mo
negative	wow bad get seriously bad term gore mainly laughable chi acting atmosphere direction story dreadful 
positive	love diaper baby movie make like today rich cinematic history goofy made make laugh ever got kid act
negative	following century gun dual go awry charming young woman becomes vampire become one undead us goth te
positive	first haunt seen blob since <num> <num> viewing adult incredible experience page could written influ
positive	premise rather original well thought unfortunately siding good story low budget even allow decent sp
negative	wish grade lower f give scored <num> vote tally grading even regular ta finland worst lamest crappie
negative	badland one worst movie ever seen time fine go life feel need warn others case veteran iraq war feel
positive	possibly say uncut hardcore musical alice work large energetic cast seemingly enjoying hilt whilst o
positive	despite feeling star war fan opinion return jedi greatest cinematic ever created ever since first ti
positive	flick even better waiting huffman great strength two film lie brilliant character acting guest levy 
positive	liked many people refer sabrina teenage feminist lot movie melissa joan hart still really surprised 
negative	one awful people told bad actually sure disagree monster amazingly cheap funny looking something kne
negative	watched cable big leslie fan big mistake horrible done care one bit character chris klein play guy c
negative	unlike reviewer particular im really much cynthia roth rock fan say least however saw fred williamso
negative	expected bad got bad really imagine worst fantasy bad done even want try explain blood surf blood su
negative	another one movie knew would hate ended bad one would expect lot ta even menu chocked full woman bre
positive	walked theatre expectation witness everything illuminated walked joy barely come feel american film 
positive	quite revealing see today appreciate far come along expect movie time appreciate many bedrock notion
negative	done care show suppose communicating profound message human existence show cracow anyone derive plea
